               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085319,             0.02203,                   0,             0.72617,             0.62182,             0.69848,             0.38513,            0.045304,            0.012366,                   0,            0.070085,           0.0033239,           0.0033239
                   1,            0.051507,             0.01485,                   0,             0.90879,             0.78804,             0.86868,             0.43016,            0.037804,           0.0092011,                   0,            0.040052,           0.0066242,           0.0066242
                   2,            0.043037,            0.011605,                   0,             0.94192,             0.78895,             0.87709,              0.5362,            0.037631,           0.0088925,                   0,           0.0099863,           0.0098916,           0.0098916
                   3,            0.036786,            0.010124,                   0,             0.95741,             0.84041,             0.91581,             0.68819,             0.02773,           0.0080487,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.031788,           0.0091119,                   0,             0.97176,             0.84103,             0.91947,             0.71596,            0.025343,           0.0081629,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,             0.02899,           0.0085406,                   0,             0.97007,             0.87187,             0.94105,             0.72759,            0.024517,           0.0073258,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.026678,            0.008077,                   0,             0.96488,              0.8876,             0.94813,             0.76582,            0.022685,           0.0068686,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.024937,           0.0075655,                   0,             0.97389,             0.87911,             0.93564,             0.74957,            0.024226,            0.007614,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.024141,            0.007474,                   0,             0.97942,             0.89836,             0.95231,             0.78061,            0.020735,           0.0065895,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.022364,           0.0069165,                   0,             0.97359,             0.87477,              0.9357,             0.77693,            0.022329,            0.007742,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.021818,           0.0069406,                   0,             0.97473,             0.87622,             0.93733,             0.77347,            0.022188,             0.00743,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.020807,           0.0065499,                   0,             0.96899,             0.89443,              0.9443,             0.79796,            0.020663,           0.0069178,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.020534,           0.0064453,                   0,             0.97388,             0.87808,             0.93578,             0.79113,            0.021297,           0.0077646,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.019515,           0.0063288,                   0,             0.96761,             0.86959,              0.9335,              0.7894,            0.021315,           0.0077022,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.019086,            0.006209,                   0,             0.97727,             0.87787,             0.93648,             0.80107,            0.020151,           0.0073246,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.019079,           0.0060197,                   0,             0.97143,             0.89386,             0.94545,             0.81218,            0.019261,           0.0075807,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.018311,           0.0057992,                   0,             0.96969,             0.87423,             0.93558,             0.80812,            0.020309,           0.0079668,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.018117,           0.0059197,                   0,             0.97102,             0.90023,             0.94821,             0.82662,            0.019131,           0.0067473,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.017932,           0.0058976,                   0,             0.97524,             0.87353,             0.93698,             0.81937,            0.020271,           0.0076605,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.017748,           0.0056436,                   0,             0.96856,             0.88647,              0.9386,             0.81833,            0.018978,           0.0072861,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.017569,           0.0057529,                   0,             0.98025,             0.88739,              0.9494,             0.82373,            0.017827,           0.0072576,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.016911,           0.0054812,                   0,             0.98006,             0.85572,             0.92587,             0.81704,             0.02008,           0.0086895,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.016602,           0.0054051,                   0,             0.97315,             0.87765,             0.94114,             0.82341,            0.018194,           0.0080284,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.016865,           0.0054593,                   0,             0.97958,             0.90085,              0.9504,             0.83184,              0.0176,           0.0068651,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.016321,           0.0054238,                   0,             0.97276,             0.89112,             0.94516,             0.82488,            0.018306,           0.0072784,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.016593,           0.0052986,                   0,             0.97879,             0.87353,             0.94309,             0.82257,            0.018237,           0.0079129,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.015946,            0.005211,                   0,             0.96795,             0.88967,             0.94866,             0.82487,             0.01819,           0.0070182,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.015999,           0.0051844,                   0,             0.96645,             0.83471,             0.91338,              0.7947,            0.021422,           0.0099133,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.015866,             0.00509,                   0,             0.97073,             0.85122,             0.92086,             0.80997,            0.020471,           0.0096202,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,             0.01581,           0.0051505,                   0,             0.96825,             0.87116,             0.93618,              0.8145,            0.019878,           0.0082119,                   0,            0.008614,            0.008614,            0.008614
                  30,             0.01544,           0.0050319,                   0,             0.96747,             0.86178,             0.93036,             0.81969,            0.018594,            0.009373,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.015816,            0.005072,                   0,             0.97963,             0.87642,             0.94569,             0.83599,            0.017539,           0.0072245,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.015194,           0.0049591,                   0,             0.98281,             0.88774,             0.94864,             0.84149,            0.016934,           0.0073706,                   0,           0.0084655,           0.0084655,           0.0084655
